Step #0.00 (0ms ?*RT. ?UPS, TraCI: 806ms, vehicles TOT 0 ACT 0 BUF 0)                    
Step #0.00 (10ms ~= 100.00*RT, ~500.00UPS, TraCI: 14ms, vehicles TOT 5 ACT 5 BUF 50)      
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 0ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (3ms ~= 333.33*RT, ~56333.33UPS, TraCI: 6ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 7ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 7ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 8ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (15ms ~= 66.67*RT, ~26266.67UPS, TraCI: 9ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (24ms ~= 41.67*RT, ~18500.00UPS, TraCI: 7ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (22ms ~= 45.45*RT, ~22681.82UPS, TraCI: 7ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (29ms ~= 34.48*RT, ~18689.66UPS, TraCI: 6ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (33ms ~= 30.30*RT, ~19242.42UPS, TraCI: 7ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (37ms ~= 27.03*RT, ~18297.30UPS, TraCI: 7ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (44ms ~= 22.73*RT, ~16340.91UPS, TraCI: 6ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (44ms ~= 22.73*RT, ~17227.27UPS, TraCI: 8ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (51ms ~= 19.61*RT, ~15921.57UPS, TraCI: 7ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (48ms ~= 20.83*RT, ~17229.17UPS, TraCI: 7ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (56ms ~= 17.86*RT, ~14982.14UPS, TraCI: 7ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (49ms ~= 20.41*RT, ~17326.53UPS, TraCI: 0ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (53ms ~= 18.87*RT, ~16113.21UPS, TraCI: 7ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (55ms ~= 18.18*RT, ~16200.00UPS, TraCI: 6ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (51ms ~= 19.61*RT, ~17411.76UPS, TraCI: 7ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (53ms ~= 18.87*RT, ~17226.42UPS, TraCI: 8ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (54ms ~= 18.52*RT, ~17333.33UPS, TraCI: 6ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (55ms ~= 18.18*RT, ~17072.73UPS, TraCI: 7ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (53ms ~= 18.87*RT, ~17415.09UPS, TraCI: 11ms, vehicles TOT 1935 ACT 923 BUF 
Step #2500.00 (56ms ~= 17.86*RT, ~16500.00UPS, TraCI: 7ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (54ms ~= 18.52*RT, ~17055.56UPS, TraCI: 7ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (54ms ~= 18.52*RT, ~17314.81UPS, TraCI: 7ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (58ms ~= 17.24*RT, ~16344.83UPS, TraCI: 6ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (51ms ~= 19.61*RT, ~18823.53UPS, TraCI: 7ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (55ms ~= 18.18*RT, ~17527.27UPS, TraCI: 11ms, vehicles TOT 2201 ACT 964 BUF 
