Step #0.00 (0ms ?*RT. ?UPS, TraCI: 1214ms, vehicles TOT 0 ACT 0 BUF 0)                   
Step #0.00 (6ms ~= 166.67*RT, ~833.33UPS, TraCI: 42ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 4ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (3ms ~= 333.33*RT, ~56333.33UPS, TraCI: 3ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 6ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 6ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (30ms ~= 33.33*RT, ~11400.00UPS, TraCI: 12ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (15ms ~= 66.67*RT, ~26266.67UPS, TraCI: 11ms, vehicles TOT 595 ACT 394 BUF 10
Step #700.00 (16ms ~= 62.50*RT, ~27750.00UPS, TraCI: 8ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (21ms ~= 47.62*RT, ~23761.90UPS, TraCI: 6ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (32ms ~= 31.25*RT, ~16937.50UPS, TraCI: 9ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (35ms ~= 28.57*RT, ~18142.86UPS, TraCI: 1ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (36ms ~= 27.78*RT, ~18805.56UPS, TraCI: 5ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (133ms ~= 7.52*RT, ~5406.02UPS, TraCI: 17ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (45ms ~= 22.22*RT, ~16844.44UPS, TraCI: 8ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (96ms ~= 10.42*RT, ~8458.33UPS, TraCI: 13ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (92ms ~= 10.87*RT, ~8989.13UPS, TraCI: 12ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (74ms ~= 13.51*RT, ~11337.84UPS, TraCI: 11ms, vehicles TOT 1489 ACT 839 BUF 
Step #1700.00 (76ms ~= 13.16*RT, ~11171.05UPS, TraCI: 11ms, vehicles TOT 1552 ACT 849 BUF 
Step #1800.00 (97ms ~= 10.31*RT, ~8804.12UPS, TraCI: 18ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (92ms ~= 10.87*RT, ~9684.78UPS, TraCI: 11ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (93ms ~= 10.75*RT, ~9548.39UPS, TraCI: 11ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (81ms ~= 12.35*RT, ~11271.60UPS, TraCI: 8ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (84ms ~= 11.90*RT, ~11142.86UPS, TraCI: 8ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (83ms ~= 12.05*RT, ~11313.25UPS, TraCI: 1ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (90ms ~= 11.11*RT, ~10255.56UPS, TraCI: 11ms, vehicles TOT 1935 ACT 923 BUF 
Step #2500.00 (85ms ~= 11.76*RT, ~10870.59UPS, TraCI: 10ms, vehicles TOT 1967 ACT 924 BUF 
Step #2600.00 (85ms ~= 11.76*RT, ~10835.29UPS, TraCI: 11ms, vehicles TOT 2000 ACT 921 BUF 
Step #2700.00 (84ms ~= 11.90*RT, ~11130.95UPS, TraCI: 11ms, vehicles TOT 2042 ACT 935 BUF 
Step #2800.00 (62ms ~= 16.13*RT, ~15290.32UPS, TraCI: 1ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (64ms ~= 15.62*RT, ~15000.00UPS, TraCI: 7ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (62ms ~= 16.13*RT, ~15548.39UPS, TraCI: 13ms, vehicles TOT 2201 ACT 964 BUF 
Step #3100.00 (53ms ~= 18.87*RT, ~18207.55UPS, TraCI: 8ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (54ms ~= 18.52*RT, ~17518.52UPS, TraCI: 8ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (54ms ~= 18.52*RT, ~17851.85UPS, TraCI: 7ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (158ms ~= 6.33*RT, ~6075.95UPS, TraCI: 34ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (53ms ~= 18.87*RT, ~17943.40UPS, TraCI: 7ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (56ms ~= 17.86*RT, ~17178.57UPS, TraCI: 7ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3603.00 (53ms ~= 18.87*RT, ~18188.68UPS, TraCI: 15ms, vehicles TOT 2426 ACT 964 BUF 
Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 8ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (3ms ~= 333.33*RT, ~38666.67UPS, TraCI: 4ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (4ms ~= 250.00*RT, ~42250.00UPS, TraCI: 4ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (7ms ~= 142.86*RT, ~31000.00UPS, TraCI: 7ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (16ms ~= 62.50*RT, ~17187.50UPS, TraCI: 0ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 8ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (20ms ~= 50.00*RT, ~19700.00UPS, TraCI: 6ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (16ms ~= 62.50*RT, ~27750.00UPS, TraCI: 8ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (40ms ~= 25.00*RT, ~12475.00UPS, TraCI: 12ms, vehicles TOT 785 ACT 499 BUF 0)
Step #900.00 (30ms ~= 33.33*RT, ~18066.67UPS, TraCI: 1ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (33ms ~= 30.30*RT, ~19242.42UPS, TraCI: 7ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (36ms ~= 27.78*RT, ~18805.56UPS, TraCI: 7ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (44ms ~= 22.73*RT, ~16340.91UPS, TraCI: 7ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (43ms ~= 23.26*RT, ~17627.91UPS, TraCI: 7ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (51ms ~= 19.61*RT, ~15921.57UPS, TraCI: 1ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (48ms ~= 20.83*RT, ~17229.17UPS, TraCI: 12ms, vehicles TOT 1429 ACT 827 BUF 
Step #1600.00 (46ms ~= 21.74*RT, ~18239.13UPS, TraCI: 7ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (50ms ~= 20.00*RT, ~16980.00UPS, TraCI: 8ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (50ms ~= 20.00*RT, ~17080.00UPS, TraCI: 9ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (57ms ~= 17.54*RT, ~15631.58UPS, TraCI: 7ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (48ms ~= 20.83*RT, ~18500.00UPS, TraCI: 8ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (50ms ~= 20.00*RT, ~18260.00UPS, TraCI: 12ms, vehicles TOT 1810 ACT 913 BUF 
Step #2200.00 (51ms ~= 19.61*RT, ~18352.94UPS, TraCI: 8ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (51ms ~= 19.61*RT, ~18411.76UPS, TraCI: 8ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (50ms ~= 20.00*RT, ~18460.00UPS, TraCI: 7ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (54ms ~= 18.52*RT, ~17111.11UPS, TraCI: 8ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (54ms ~= 18.52*RT, ~17055.56UPS, TraCI: 8ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (53ms ~= 18.87*RT, ~17641.51UPS, TraCI: 11ms, vehicles TOT 2042 ACT 935 BUF 
Step #2800.00 (57ms ~= 17.54*RT, ~16631.58UPS, TraCI: 7ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (54ms ~= 18.52*RT, ~17777.78UPS, TraCI: 7ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (50ms ~= 20.00*RT, ~19280.00UPS, TraCI: 8ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (52ms ~= 19.23*RT, ~18557.69UPS, TraCI: 0ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (51ms ~= 19.61*RT, ~18549.02UPS, TraCI: 8ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (55ms ~= 18.18*RT, ~17527.27UPS, TraCI: 8ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (53ms ~= 18.87*RT, ~18113.21UPS, TraCI: 7ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (53ms ~= 18.87*RT, ~17943.40UPS, TraCI: 8ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (57ms ~= 17.54*RT, ~16877.19UPS, TraCI: 8ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3612.00 (52ms ~= 19.23*RT, ~18673.08UPS, TraCI: 14ms, vehicles TOT 2435 ACT 971 BUF 
